rel,format,fps,size,boneCount,frameSets,chunks,specialMissing,specialPresent
attachments/muzzle/suppressor_556.anm,5,30,1836,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/muzzle/suppressor_bottle.anm,5,30,1992,22,2,DATA:712,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_1pn51.anm,5,30,1826,22,2,DATA:546,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_acog.anm,6,30,1711,22,2,DATA:576,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_buis.anm,6,30,1691,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_crossbow.anm,5,30,1836,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_fnp45_mrd.anm,5,30,1836,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_hunting_scope_12x.anm,5,30,1806,22,2,DATA:526,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_kashtan.anm,6,30,1691,22,2,DATA:556,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
attachments/optic/optic_kobra.anm,5,30,1816,22,2,DATA:536,LeftHand_Dummy;LeftHandIKTarget;LeftForeArmDirection;LeftHandOrigin;LeftForeArmDirectionOrigin,RightHand_Dummy;RightHandOrigin;RightForeArmDirectionOrigin;RightForeArmDirection
